"x","y","year","env1","env2"
0,0,0,-9999,-9999
0,1,0,-9999,-9999
0,2,0,-9999,-9999
0,3,0,-8.8,0.339
0,4,0,-9,0.347
0,5,0,-9.1,0.352
0,6,0,-9.1,0.353
0,7,0,-8.9,0.353
0,8,0,-8.7,0.351
0,9,0,-8.8,0.355
0,10,0,-8.6,0.354
0,11,0,-8.5,0.354
0,12,0,-8.3,0.354
0,13,0,-9999,-9999
0,14,0,-9999,-9999
0,15,0,-9999,-9999
0,16,0,-9999,-9999
0,17,0,-9999,-9999
0,18,0,-9999,-9999
0,19,0,-9999,-9999
0,20,0,-9999,-9999
0,21,0,-9999,-9999
0,22,0,-9999,-9999
0,23,0,-9999,-9999
0,24,0,-9999,-9999
0,25,0,-9999,-9999
0,26,0,-9999,-9999
0,27,0,-9999,-9999
0,28,0,-9999,-9999
0,29,0,-9999,-9999
0,30,0,-9999,-9999
0,31,0,-9999,-9999
0,32,0,-9999,-9999
0,33,0,-9999,-9999
0,34,0,-9999,-9999
0,35,0,-9999,-9999
0,36,0,-9999,-9999
0,37,0,-9999,-9999
0,38,0,-9999,-9999
0,39,0,-9999,-9999
0,40,0,-9999,-9999
0,41,0,-9999,-9999
0,42,0,-9999,-9999
0,43,0,-9999,-9999
0,44,0,-9999,-9999
0,45,0,-9999,-9999
0,46,0,-9999,-9999
0,47,0,-9999,-9999
0,48,0,-9999,-9999
0,49,0,-9999,-9999
0,50,0,-9999,-9999
0,51,0,-9999,-9999
0,52,0,-9999,-9999
0,53,0,-9999,-9999
0,54,0,-9999,-9999
0,55,0,-9999,-9999
0,56,0,-9999,-9999
0,57,0,-6,0.466
0,58,0,-9999,-9999
0,59,0,-9999,-9999
0,60,0,-5.8,0.476
0,61,0,-5.8,0.48
0,62,0,-5.7,0.484
0,63,0,-9999,-9999
0,64,0,-9999,-9999
0,65,0,-9999,-9999
0,66,0,-9999,-9999
0,67,0,-9999,-9999
0,68,0,-5.3,0.505
0,69,0,-5.2,0.509
0,70,0,-5.2,0.513
0,71,0,-9999,-9999
0,72,0,-9999,-9999
0,73,0,-9999,-9999
0,74,0,-9999,-9999
0,75,0,-4.8,0.532
0,76,0,-4.8,0.537
0,77,0,-4.7,0.541
0,78,0,-4.7,0.547
0,79,0,-4.7,0.551
0,80,0,-4.6,0.554
0,81,0,-4.4,0.555
0,82,0,-4.3,0.558
0,83,0,-9999,-9999
0,84,0,-9999,-9999
0,85,0,-9999,-9999
0,86,0,-4.1,0.572
0,87,0,-9999,-9999
0,88,0,-9999,-9999
0,89,0,-9999,-9999
0,90,0,-9999,-9999
0,91,0,-9999,-9999
0,92,0,-9999,-9999
0,93,0,-9999,-9999
0,94,0,-3.5,0.594
0,95,0,-9999,-9999
0,96,0,-3.4,0.6
0,97,0,-9999,-9999
0,98,0,-9999,-9999
0,99,0,-9999,-9999
0,100,0,-9999,-9999
0,101,0,-9999,-9999
0,102,0,-9999,-9999
0,103,0,-9999,-9999
0,104,0,-9999,-9999
0,105,0,-9999,-9999
0,106,0,-9999,-9999
0,107,0,-9999,-9999
0,108,0,-9999,-9999
0,109,0,-2.5,0.635
0,110,0,-2.4,0.637
0,111,0,-9999,-9999
0,112,0,-2.2,0.642
0,113,0,-9999,-9999
0,114,0,-9999,-9999
0,115,0,-9999,-9999
0,116,0,-9999,-9999
0,117,0,-9999,-9999
0,118,0,-9999,-9999
0,119,0,-9999,-9999
0,120,0,-9999,-9999
0,121,0,-9999,-9999
0,122,0,-9999,-9999
0,123,0,-9999,-9999
0,124,0,-9999,-9999
0,125,0,-9999,-9999
0,126,0,-9999,-9999
0,127,0,-9999,-9999
0,128,0,-9999,-9999
0,129,0,-9999,-9999
0,130,0,-9999,-9999
0,131,0,-9999,-9999
0,132,0,-9999,-9999
0,133,0,-9999,-9999
0,134,0,-9999,-9999
0,135,0,-0.4,0.72
0,136,0,-0.3,0.723
0,137,0,-0.3,0.725
0,138,0,-0.2,0.728
0,139,0,-0.1,0.73
0,140,0,-0.1,0.734
0,141,0,0,0.737
0,142,0,0,0.743
0,143,0,-0.1,0.753
0,144,0,-0.3,0.766
0,145,0,-0.5,0.779
0,146,0,-0.6,0.789
0,147,0,-0.5,0.793
0,148,0,-0.5,0.797
0,149,0,-0.4,0.802
0,150,0,-0.3,0.804
0,151,0,-0.3,0.807
0,152,0,-0.1,0.808
0,153,0,-0.1,0.811
0,154,0,0,0.816
0,155,0,0,0.823
0,156,0,0,0.822
0,157,0,0.2,0.821
0,158,0,0.3,0.821
0,159,0,0.3,0.829
0,160,0,0.3,0.832
0,161,0,0.4,0.832
0,162,0,0.5,0.836
0,163,0,0.4,0.843
0,164,0,0.7,0.837
0,165,0,0.9,0.833
0,166,0,1,0.833
0,167,0,1.1,0.831
0,168,0,1.2,0.833
0,169,0,1.2,0.835
0,170,0,1.3,0.836
0,171,0,1.3,0.839
0,172,0,1.3,0.842
0,173,0,1.6,0.832
0,174,0,1.7,0.83
0,175,0,1.8,0.827
0,176,0,1.9,0.825
0,177,0,2.2,0.815
0,178,0,2.6,0.802
0,179,0,2.7,0.802
0,180,0,2.7,0.811
0,181,0,2.9,0.811
0,182,0,2.7,0.829
0,183,0,2.6,0.845
0,184,0,2.7,0.857
0,185,0,2.7,0.869
0,186,0,2.9,0.87
0,187,0,3,0.876
0,188,0,3.1,0.884
0,189,0,3.3,0.887
0,190,0,3.5,0.89
0,191,0,3.6,0.897
0,192,0,3.6,0.906
0,193,0,3.7,0.913
0,194,0,4,0.915
0,195,0,4.3,0.911
0,196,0,4.5,0.913
0,197,0,4.5,0.924
0,198,0,4.5,0.939
0,199,0,4.5,0.952
0,200,0,4.4,0.97
0,201,0,4.4,0.986
0,202,0,4.5,1
0,203,0,4.6,1.011
0,204,0,4.7,1.019
0,205,0,4.8,1.027
0,206,0,4.9,1.031
0,207,0,5,1.035
0,208,0,5.3,1.026
0,209,0,5.5,1.017
0,210,0,5.6,1.007
0,211,0,5.7,0.994
1,0,0,-9999,-9999
1,1,0,-9999,-9999
1,2,0,-8.8,0.336
1,3,0,-8.8,0.34
1,4,0,-9.1,0.348
1,5,0,-9.1,0.352
1,6,0,-9,0.354
1,7,0,-8.9,0.354
1,8,0,-8.7,0.35
1,9,0,-8.7,0.354
1,10,0,-8.6,0.354
1,11,0,-8.4,0.353
1,12,0,-9999,-9999
1,13,0,-9999,-9999
1,14,0,-9999,-9999
1,15,0,-9999,-9999
1,16,0,-9999,-9999
1,17,0,-9999,-9999
1,18,0,-9999,-9999
1,19,0,-9999,-9999
1,20,0,-9999,-9999
1,21,0,-9999,-9999
1,22,0,-9999,-9999
1,23,0,-9999,-9999
1,24,0,-9999,-9999
1,25,0,-9999,-9999
1,26,0,-9999,-9999
1,27,0,-9999,-9999
1,28,0,-9999,-9999
1,29,0,-9999,-9999
1,30,0,-9999,-9999
1,31,0,-9999,-9999
1,32,0,-9999,-9999
1,33,0,-9999,-9999
1,34,0,-9999,-9999
1,35,0,-9999,-9999
1,36,0,-9999,-9999
1,37,0,-9999,-9999
1,38,0,-9999,-9999
1,39,0,-9999,-9999
1,40,0,-9999,-9999
1,41,0,-9999,-9999
1,42,0,-9999,-9999
1,43,0,-9999,-9999
1,44,0,-9999,-9999
